;fips;INTPTLAT;INTPTLON
175;48439;32.7721191;-97.2912241
176;28123;32.411959499999995;-89.53348609999999
177;18083;38.688390999999996;-87.42035440000001
178;31047;40.8673784;-99.8151537
179;30027;47.2252211;-109.23213759999999
180;06069;36.611650700000006;-121.0858108
181;30039;46.3959554;-113.42735640000001
182;26165;44.3313751;-85.57004620000001
183;51173;36.842318299999995;-81.53978609999999
184;27059;45.5624313;-93.29633879999999
185;48467;32.558786600000005;-95.8369057
186;34029;39.865669;-74.2588636
187;17141;42.041884;-89.32017640000001
188;20027;39.3449643;-97.1688527
189;29025;39.6589977;-93.9791785
190;21013;36.728928100000005;-83.680718
191;06019;36.7610058;-119.65501929999999
192;48111;36.2863696;-102.5940204
193;48499;32.7835881;-95.38216640000002
194;55115;44.7896407;-88.75581340000001
195;27079;44.3734238;-93.7301433
196;72143;18.4361633;-66.3366734
197;24025;39.5374292;-76.29978940000001
198;55015;44.078410399999996;-88.2121322
199;53049;46.5565866;-123.7824193
200;02013;55.245043700000004;-161.9974772
201;36055;43.4644839;-77.66465840000001
202;15007;22.0120383;-159.7059653
203;28103;33.1065082;-88.56600440000001
204;41065;45.1645359;-121.1650693
205;47189;36.149527;-86.2912423
206;36095;42.591294;-74.4381718
207;54049;39.505838700000005;-80.24340179999999
208;55031;46.463218499999996;-91.8924773
209;37065;35.917077299999995;-77.60274220000001
210;51720;36.9315489;-82.625996
211;40087;35.0164359;-97.4498032
212;72149;18.1307185;-66.4722435
213;13301;33.4191691;-82.6880123
214;30085;48.2827471;-104.99516979999999
215;53015;46.196785399999996;-122.6784596
216;37197;36.1587653;-80.6651641
217;20169;38.791804299999995;-97.6514783
218;17043;41.8520577;-88.0860389
219;31059;40.525039899999996;-97.5967053
220;02016;51.948964000000004;179.6211882
221;21139;37.2095174;-88.3634261
222;42001;39.86947070000001;-77.2177296
223;49049;40.120424799999995;-111.66850819999999
224;36047;40.6350451;-73.95063979999999
225;21219;36.84033839999999;-87.1836416
226;42095;40.75279129999999;-75.3074468
227;39029;40.770073;-80.77845500000001
228;12083;29.2028047;-82.04310040000001
229;17097;42.326440999999996;-87.435976
230;08063;39.3053399;-102.60302259999999
231;47091;36.4532029;-81.86124670000001
232;21041;38.6683939;-85.1240238
233;47139;35.1094371;-84.5411124
234;38075;48.7127815;-101.6581522
235;48451;31.3988233;-100.46378790000001
236;19135;41.0288473;-92.8696415
237;45033;34.3901723;-79.37496379999999
238;31065;40.191865;-99.90966309999999
239;38025;47.3545572;-102.61232159999999
240;26023;41.9184551;-85.0668852
241;21191;38.6962842;-84.3519435
242;47051;35.1559259;-86.0992032
243;13131;30.8759076;-84.2450803
244;06063;39.992295299999995;-120.8243709
245;49051;40.3348838;-111.1615683
246;39035;41.7603919;-81.7242168
247;30069;47.1419168;-108.22657530000001
248;47033;35.81879489999999;-89.1324936
249;35051;33.1194684;-107.1881612
250;31123;41.7322039;-102.9905936
251;20019;37.1542592;-96.2453962
252;01111;33.296475300000004;-85.4640679
253;30091;48.7055228;-104.5339129
254;45091;34.9701875;-81.1831873
255;18175;38.6006126;-86.1047512
256;16025;43.5025515;-114.77213490000001
257;54041;38.9888773;-80.49547729999999
258;40119;36.0792254;-96.9752553
259;21179;37.8031198;-85.4659312
260;51570;37.2616846;-77.3968043
261;25011;42.58450379999999;-72.59179209999999
262;31039;41.9158651;-96.7885168
263;01027;33.2703999;-85.8635254
264;13115;34.2636918;-85.21368509999999
265;31043;42.391644899999996;-96.5613555
266;54079;38.510512799999994;-81.906109
267;13193;32.3626859;-84.0512306
268;37027;35.966395;-81.51254109999999
269;20101;38.481286299999994;-100.4661853
270;37063;36.0338282;-78.87812459999999
271;30049;47.1320133;-112.3733673
272;47169;36.3930297;-86.15669090000002
273;12011;26.1935353;-80.4766834
274;48133;32.324645399999994;-98.83655959999999
275;39125;41.11894829999999;-84.58212490000001
276;19159;40.7353342;-94.24425140000001
277;42065;41.1380282;-79.012419
278;46073;44.063409899999996;-98.6231702
279;32021;38.516647;-118.4162794
280;40115;36.8357635;-94.8026814
281;37013;35.482312799999995;-76.84201440000001
282;28143;34.6522011;-90.3717697
283;18005;39.205843;-85.8979988
284;05051;34.5788523;-93.1469323
285;56043;43.8788305;-107.66905200000001
286;27071;48.245374299999995;-93.78289559999999
287;48461;31.3538163;-102.04154609999999
288;06075;37.7272391;-123.0322294
289;54061;39.6336448;-80.05907359999999
290;48381;34.962528999999996;-101.89554720000001
291;29089;39.143365;-92.6959255
292;12013;30.388801300000004;-85.19791550000001
293;46077;44.3629687;-97.499313
294;48153;34.073730499999996;-101.3032742
